age,annual_income,spending_score,online_purchase_frequency,store_visits_per_month
38.0,93974.0,75.0,9,3
38.0,88894.0,79.0,5,6
26.0,95182.0,74.0,9,6
41.0,102184.0,78.0,8,4
20.0,88127.0,65.0,10,2
28.0,88127.0,82.0,3,2
18.0,102634.0,80.0,7,5
51.0,96139.0,73.0,7,6
33.0,86244.0,85.0,7,1
57.0,94340.0,88.0,14,2
43.0,86293.0,67.0,7,4
39.0,86274.0,74.0,7,8
29.0,91936.0,74.0,8,7
25.0,74694.0,72.0,5,8
40.0,76201.0,87.0,7,3
34.0,85502.0,78.0,12,8
22.0,81897.0,78.0,4,4
20.0,92514.0,64.0,4,6
25.0,82736.0,85.0,10,4
53.0,78702.0,70.0,5,6
57.0,101725.0,80.0,5,6
37.0,88194.0,82.0,9,2
36.0,90540.0,91.0,10,4
32.0,78602.0,70.0,8,6
26.0,85645.0,56.0,9,10
49.0,90887.0,81.0,8,7
54.0,80792.0,94.0,5,3
26.0,93006.0,90.0,6,5
34.0,85195.0,82.0,18,5
31.0,87666.0,76.0,9,4
31.0,85186.0,86.0,7,5
47.0,104818.0,72.0,6,9
22.0,89892.0,84.0,10,3
40.0,81538.0,84.0,11,3
42.0,96580.0,88.0,4,6
34.0,80233.0,102.0,8,6
44.0,91671.0,83.0,14,8
36.0,74323.0,76.0,9,10
47.0,79375.0,80.0,6,6
20.0,91575.0,66.0,4,3
32.0,95908.0,74.0,8,4
34.0,91371.0,77.0,6,7
18.0,89075.0,76.0,8,1
24.0,87591.0,81.0,3,8
27.0,78172.0,73.0,3,0
44.0,84241.0,89.0,5,6
28.0,86315.0,80.0,10,1
27.0,98457.0,80.0,5,6
43.0,92749.0,77.0,6,5
19.0,75896.0,81.0,13,6
18.0,92593.0,87.0,4,9
31.0,86919.0,73.0,8,4
21.0,84585.0,75.0,11,6
21.0,94893.0,78.0,13,7
41.0,98248.0,69.0,12,3
44.0,97450.0,73.0,14,4
43.0,83286.0,76.0,8,3
46.0,87526.0,87.0,6,5
47.0,92650.0,82.0,9,1
18.0,97804.0,82.0,8,2
40.0,86167.0,87.0,9,2
30.0,88515.0,79.0,3,3
28.0,81149.0,83.0,10,3
41.0,80430.0,79.0,4,4
18.0,96500.0,82.0,7,7
18.0,100850.0,75.0,8,8
41.0,89424.0,60.0,2,7
40.0,98028.0,79.0,5,6
36.0,92893.0,91.0,11,11
26.0,84839.0,87.0,7,5
42.0,92891.0,88.0,6,7
42.0,102304.0,90.0,5,6
36.0,89713.0,81.0,7,4
23.0,102517.0,82.0,10,2
31.0,69042.0,75.0,14,4
43.0,96575.0,77.0,10,5
48.0,90696.0,85.0,9,3
32.0,87608.0,90.0,8,5
33.0,90734.0,79.0,8,7
33.0,74099.0,76.0,10,4
38.0,88243.0,80.0,8,5
29.0,92857.0,85.0,6,5
18.0,101823.0,68.0,11,4
47.0,85854.0,62.0,14,2
53.0,83532.0,76.0,8,1
29.0,85986.0,70.0,10,4
24.0,97323.0,76.0,10,3
34.0,92630.0,79.0,10,5
33.0,85762.0,76.0,13,3
45.0,94106.0,92.0,9,1
36.0,90777.0,83.0,10,4
27.0,97749.0,82.0,9,6
22.0,84384.0,85.0,4,8
44.0,87379.0,71.0,8,8
41.0,86863.0,88.0,4,4
46.0,78292.0,79.0,10,3
25.0,92369.0,85.0,5,1
